pk,jsondata,id,name,description,markup_description,unitparameter_pk,ord,version
8,,cs-9129144361135011,Education [6],"A special category is constituted by recent Standard Arabic loans, which can be recognized by specific phonological and morphological features. These are mainly the consequence of formal teaching, Standard Arabic being the main language of education in Morocco.",,1,,1
9,,cs-9129144483585006,French contact [6],"In contrast to most parts of Morocco, French was never a major factor in the region, as it belonged to the Spanish part of the protectorate. French loanwords mainly entered Tarifiyt through Moroccan Arabic.",,1,,1
10,,cs-9129144456628224,Latin contact [6],"Quite a number of terms have been borrowed from Latin. For the later period, one may prefer to call the donor language North-African Romance rather than Latin. It is uncertain how long Romance persisted in Northern Africa after the Arabic conquest, but the presence of Romance influence on Maghribine Arabic shows that it must have been a significant linguistic factor in the early period of Islamic rule, especially in the northwestern part of Morocco, a region adjacent to where Tarifiyt is spoken",,1,,1
11,,cs-9129144323918666,Early Islamic missionary activities [6],"Northern Africa was subdued by Islamic troops in the course of the seventh century CE. At first, this conquest did probably not have much impact on the linguistic practices of Berber speaking populations. Arabic settlements were mainly found in the cities, which at that time were probably mainly Romance speaking. In order to bring the Islamic faith to the Berbers, special religious vocabulary was designed. As these terms are found all over Berber, and both with groups adhering to Sunnite and to Kharijite Islam, this vocabulary must have been introduced at a time when the Islamic schism was not yet a major issue in Berber country. This suggests a time before or during the Kharijite predominance in Northern Africa, i.e. in the eighth century CE or earlier. These terms must have been spread by missionaries using Berber as their language of religious teaching.",,1,,1
12,,cs-9129144561017320,Spanish contact [6],"Spanish has been a language in the region since Spanish troops occupied Melilla in 1497, a foreign presence which continues until the present day. There is not much evidence, though, for substantial Spanish influence on Tarifiyt before the start of the occupation of Northern Morocco in 1912. In fact, one suspects that a large percentage of Spanish loanwords was borrowed after Morocco regained its independence (1956), and is due to the intensive trading (and smuggling) relations between Nador and the Spanish enclave Melilla, as well as to easy access to Spanish radio and television.",,1,,1
13,,cs-9129144116200514,Widespread Moroccan Arabic bilingualism [6],"In Northern Africa, Arabic has been the dominant language for a long period. This does not mean that the social circumstances under which borrowing took place are easy to reconstruct. In pre-colonial times, there never was a policy aiming at the introduction of Arabic in other than religious and literary contexts, and dialectal Arabic – the main donor of Arabic lexicon in Tarifiyt – never had any special status. During most of its history, this part of Morocco recognized the religious authority of the Moroccan sultan, but did not submit to his secular power. Thus, political dominance of speakers of Arabic was only rarely an issue in the Tarifiyt speaking country before Morocco regained its independence in 1956.",,1,,1
30,,cs-912914414381708,Italian banking terms [12],"During the 15th and 16th centuries, Italian bankers were very influential in the Low Countries, and traces of that have been preserved in the language.",,1,,1
242,,cs-912914469736873,Central Asian contact [9],Loanwords or suggested loanwords into Proto-Indo-Iranian from non-Indo-European languages of ancient Central Asia.,,1,,1
416,"{""start_year"": 1251, ""end_year"": 1300}",a-12-1251-1300,1251-1300 [12],,,2,,1
50,,cs-9129144951970041,Italian contact [13],"Dutch and Middle Low German influence belongs mostly to the late Middle Ages (1350-1500), as does some of the Italian influence on English and probably also the scanty influence of Welsh and Gaelic on English.",,1,,1
198,,cs-92142242966619766,(Pre-)Medieval Central Asian/Sanskrit contact [22],,,1,,1
14,,cs-9291353211233765,Avar as local lingua franca [15],"Avar is the single largest immediate source for loans into Bezhta, and contact with Avar has been intense for at least some centuries, with Avar serving as the main means of communication with the outside world, in addition to personal meetings between speakers of Bezhta and Avar. It is difficult to justify the assignment of a particular date to the beginning of this process, but as a rule of thumb we have taken the beginning of the eighteenth century, as it was during the eighteenth century that the Bezhta speaking area was incorporated into a larger, religiously Muslim community under Avar leadership. In addition to loans of indigenous Avar origin, Avar has also provided the major conduit for the introduction into Bezhta of words of ultimate Arabic, Persian, or Turkic origin.",,1,,1
15,,cs-9129144792352655,Old Irish influence [12],"Irish missionaries, christianizing the Low Countries in the seventh century, left one loanword behind: klok ‘clock’.",,1,,1
16,,cs-9129144527577029,Old Norse maritime influence [12],"Thanks to the fishing trade, native speakers of Dutch, towards the end of the Middle Ages, came into contact with speakers of Old Norse, and learned the words rif ‘reef’ and haai ‘shark’.",,1,,1
17,,cs-9129144804009485,Old Slavic influence on Germanic [12],Germanic borrowed one word from Old Slavic: rogge ‘rye’.,,1,,1
18,,cs-9291353645128228,Everyday contact with Georgian as neighboring language [15],"Bezhta’s neighboring language to the south is Georgian, and this situation must go back a long time: The Greek geographer Strabo, writing around the year zero, places a people he calls didoi beyond the Georgians, and the word may well be the same as the Georgian word dido ‘Tsez, Tsezic’. We assume that contact therefore goes back at least to the year zero – it might possibly be even older – and has continued virtually up to the present day. (The establishment of an international border between the Russian Federation and Georgia means that for the past couple of decades there has been virtually no direct contact between speakers of Bezhta and of Georgian, other than in the case of those Bezhta who live in Georgia.)",,1,,1
381,"{""start_year"": 1112, ""end_year"": 1112}",a-12-1112,1112 [12],,,2,,1
326,"{""start_year"": -500, ""end_year"": 500}",a-15-Proto-Tsezic,Proto-Tsezic [15],,,2,,1
19,,cs-9291353784987605,Russian as lingua franca [15],"Although direct contact with native speakers of Russian is limited in the Bezhta Division, the language is widely present, for instance as the language of schooling and as the main language of broadcast media, in particular television. Direct contact with the Russian language is, however, a relatively recent phenomenon in the case of Bezhta, dating essentially from the consolidation of Soviet power in the North Caucasus in the early twentieth century. We have therefore taken 1900 CE as a reasonable terminus post quem for direct Russian loans into Bezhta, with the process of borrowing from Russian continuing up to the present day and likely to intensify in the future. In the absence of evidence to the contrary, we have assumed that words of Russian origin were borrowed directly from Russian. Russian is currently the main source of new loans, including internationalisms that enter Bezhta in their Russian form.",,1,,1
20,,cs-9129144146554349,Evangelical missionary activity [26],Evangelical missionaries arrived for the first time in 2000.,,1,,1
21,,cs-9129144205021378,Medical/administrative contact [26],"The Ceq Wong collect forest produce for trade and this is the major channel of interaction between the Ceq Wong and their Malay neighbors. Other than this, interaction is limited to contact with the kindergarten teachers, shopkeepers in the service town and occasionally visitors from government departments. Most of the population, including younger speakers, have only a passive understanding of Malay necessary for basic communication.",,1,,1
22,,cs-9129144774137386,Trade [26],"The Ceq Wong collect forest produce for trade and this is the major channel of interaction between the Ceq Wong and their Malay neighbours. Other than this, interaction is limited to contact with the kindergarten teachers, shopkeepers in the service town and occasionally visitors from government departments. Most of the population, including younger speakers, have only a passive understanding of Malay necessary for basic communication.",,1,,1
23,,cs-9129144283878463,Akkadian influence on Germanic [12],The earliest known influence on Germanic concerns the trade term zilver ‘silver’ from Akkadic.,,1,,1
24,,cs-9129144539245224,Celtic influence on Germanic [12],"During the period after the disintegration of Indo-European into various subdivisions, Germanic borrowed a number of words from neighbouring Celtic.",,1,,1
25,,cs-9129144337577131,Church Latin influence [12],"Christianity and the knowledge of the Bible (including certain till then unknown phenomena such as animals and plants) was spread together with Church Latin; many early religious terms, therefore, can be traced back to Latin. These words were, in general, adopted during the Middle Ages. The monasteries promoted the culture of writing, consequently, words in that field, too, come from Church Latin.",,1,,1
26,,cs-9129144572865827,English colonial contacts [12],"In the colonial period, from about 1600, there were, in the newly discovered territories and continents, contacts between English and Dutch. English had taken over a number of words from indigenous languages, and subsequently Dutch came to know these words from the English.",,1,,1
27,,cs-9129144542388405,English/American world-wide influence [12],"From the middle of the 19th century, Great Britain and the United States gained more and more political, cultural and technological influence on the rest of the world. During this period, Dutch, like other languages, borrowed various international terms.",,1,,1
28,,cs-9129141623226138,French cultural influence [12],"As a neighbouring language of Dutch from the earliest known times until today, French has had a great influence on the Dutch language, albeit that in the 20th century, that influence has markedly decreased in favour of English.",,1,,1
29,,cs-912914484402090,High German influence [12],"The positions of German is comparable to that of French: as a neighbouring language, German has from of old exerted its influence on Dutch - until the middle of the 19th century, though, much less strongly than French, because in the past France had a much greater cultural and political impact on the Low Countries and all of Western Europe than Germany.",,1,,1
199,,cs-92142242525116919,Pre-Modern Mongolian contact [22],,,1,,1
200,,cs-92142242891663947,Proto Tai contact [22],,,1,,1
31,,cs-912914474830097,Latin influence on Germanic [12],"In 57 BCE, Caesar conquered Northern Gaul, and from that moment the southern part of the Low Countries was occupied by the Romans. This situation lasted till the beginning of 400 CE, when the occupation forces on the Rhine were called back for the defence of Italy. The Romans were thus in the Low Countries for nearly five centuries. The Rhine was the official boundary of the Roman Empire. The Romans brought the Germans into contact with all sorts of technical innovations, for which the Germans usually took over the Latin names. Thus, the Germans learned to build brick houses, they adopted the Roman calendar, they became familiar with new foodstuffs and new ways to prepare them, and they traded with the Romans, using, for the first time, coins as currency – before that time, trade articles were bartered. All these loanwords were found in Dutch in the Middle Ages, they were borrowed in oral contact with the Romans.",,1,,1
32,,cs-9129144196447496,Low German oral loans [12],"Some words were borrowed in oral contacts between speakers of the, very similar, Dutch and Low German dialects.",,1,,1
377,"{""start_year"": 1100, ""end_year"": 1100}",a-12-1100,1100 [12],,,2,,1
33,,cs-9129144427419528,Medical and scientific Latin influence [12],"During the Middle Ages and until well into the 19th century, Latin was the international scientific and scholarly language, in which, inter alia, medical works were written. This Latin was a written language, it was even spoken by scholars, but it was nobody’s native language. Scientific Latin differed in details from classical Latin, and a host of new words were formed in it for new discoveries and inventions. Through the contacts between scientists and doctors on the one hand and laymen on the other, many Latin terms were introduced into Dutch.",,1,,1
34,,cs-9129144316188534,Old English influence [12],There is one word that may or may not come from Old English: boot ‘boat’.,,1,,1
35,,cs-9129144555643193,Old Frisian influence [12],"There is one word that, because of its form, must come from Old Frisian: eiland ‘island’.",,1,,1
327,"{""start_year"": 1, ""end_year"": 2000}",a-15-Georgian,Georgian [15],,,2,,1
328,"{""start_year"": 500, ""end_year"": 1500}",a-15-Proto-East Tsezic,Proto-East Tsezic [15],,,2,,1
36,,cs-9129144560299466,Picardic oral influence [12],"French influence was effectuated through speech contacts as well as through written works. The language spoken in Northern France, Picardic, also influenced Dutch, only through oral contact among speakers living along the border between Dutch and French/Picardic.",,1,,1
37,,cs-9129144500418722,Portuguese and/or Spanish colonial contacts [12],"The Portuguese and the Spaniards made voyages of discovery to new continents, even before the Dutch did – they came to know new animals and plants, of which they usually took over the local names. They traded some of them to Western Europe. In addition, from about 1600, the Dutch travelled to the continents where there were already Portuguese and Spanish settlers. As a result, Dutch took over various Portuguese and Spanish terms in that period, which derive from indigenous languages.",,1,,1
38,,cs-9129144666244301,Religious Greek influence on Germanic [12],"Most of the Christian religious terms are taken from Church Latin, but one term has been borrowed direct from Greek: kerk ‘church’.",,1,,1
39,,cs-912914440441939,Romance influence on Germanic [12],"A few words were borrowed, not from Latin but from Romance, which means in the period between the fifth and the ninth century.",,1,,1
40,,cs-9129144215029809,Trade contacts in colonial times [12],"From 1600, Dutch colonists settled in Asian territories – they traded with countries in Asia and the Middle East. They took over terms for the products of their trade from the languages spoken there.",,1,,1
41,,cs-912914465085135,Australian Aboriginal contact [13],Influence from languages of the Americas and the Pacific dates back to the 17th and 18th centuries.,,1,,1
42,,cs-9129144186723943,Celtic to Germanic [13],"Items from Continental Celtic, Commercial Latin and Ecclesiastical Greek (and maybe some from ecclesiastical Latin too) were acquired before what became Old English left northwest continental Europe.",,1,,1
43,,cs-9129144519905030,dialectal French contact [13],,,1,,1
44,,cs-9129144737860151,Dutch or Middle Low German contact [13],"Dutch and Middle Low German influence belongs mostly to the late Middle Ages (1350-1500), as does some of the Italian influence on English and probably also the scanty influence of Welsh and Gaelic on English.",,1,,1
45,,cs-9129144596103335,Dutch contact [13],"In later Middle English, especially in more easterly dialects (including Scots) an increasing number of borrowings from the three very closely related languages Dutch, Flemish, and Low German entered English, through widespread settlement of speakers of these languages in coastal towns, and many of these find their way into the standard language, such as reef, brackish, smile, trade.",,1,,1
66,,cs-96181439461191679,Longstanding mutual areal contact with Konso [3],"Gawwada (and other Dullay varieties) have been in close contact with Konsoid peoples and languages since prehistoric times. Although the Dullay speakers are nowadays both demographically and economically dominated by the Konsoid speakers, the situation may well have been different in the past. The two language groups (both belonging to East Cushitic) share a great number of words in all lexical domains – body parts and other basic vocabulary included. It is often difficult or even impossible to determine the direction of borrowing, but in many cases phonological criteria seem to point to Dullay as being the source of borrowing: this mainly applies to words with pharyngeal fricatives or other phonemes preserved in Dullay but lost in Konsoid. Such words are analyzed, conservatively, as “perhaps borrowed” or “probably borrowed” in the database.",,1,,1
46,,cs-9129144419137077,French contact [13],"After the Norman Conquest in 1066, Norman French and Latin were the dominant written languages in England for over two centuries, although native speakers of Norman French never comprised more than a few percent of the English population, and they shifted increasingly to English over the next few generations. The reassertion of the role of English in public life came gradually after 1250, by which time Norman French as a native language was very much on the decline in England. Nonetheless it was after this period that the bulk of French loans came into English. One turning point in favour of English was in 1362 when Parliament was opened in English for the first time. After this the role of French in England was certainly more as a language of high culture and refinement, for it was no longer a language with a firm speaker base in England, and it was Central French or francien, the dialect of Paris, which had predominated (and which enjoyed prestige) at the expense of Norman French.",,1,,1
47,,cs-9129144215521048,German contact [13],,,1,,1
48,,cs-9129144342417113,Greek contact [13],,,1,,1
49,,cs-9129144195091184,Greek to Germanic [13],"Items from Continental Celtic, Commercial Latin and Ecclesiastical Greek (and maybe some from ecclesiastical Latin too) were acquired before what became Old English left northwest continental Europe.",,1,,1
201,,cs-92142243473769206,Silk road/Han Central Asian contact [22],,,1,,1
51,,cs-912914495392052,Latin contact [13],"Old English can be said to have enjoyed a diglossic relationship of one kind with Latin, which was used in England for much serious writing. Dozens of Latin words, mostly to do with religion and scholarship, entered Old English, although Old English was also used for literary and technical prose in addition to being employed in verse of many kinds. Latin no longer had native speakers in Britain at this time.",,1,,1
52,,cs-9129144961157232,Latin to Germanic [13],"Items from Continental Celtic, Commercial Latin and Ecclesiastical Greek (and maybe some from ecclesiastical Latin too) were acquired before what became Old English left northwest continental Europe.",,1,,1
53,,cs-91291442975409,Latin to West Germanic [13],"Items from Continental Celtic, Commercial Latin and Ecclesiastical Greek (and maybe some from ecclesiastical Latin too) were acquired before what became Old English left northwest continental Europe.",,1,,1
54,,cs-9129144292193327,Malay contact [13],Influence from languages of the Americas and the Pacific dates back to the 17th and 18th centuries.,,1,,1
85,,cs-96181449784987605,General cultural [4],This is a kind of waste-basket category for loans from various languages of the region that cannot be put into any other category.,,1,,1
55,,cs-912914492642405,Middle Low German contact [13],"Dutch and Middle Low German influence belongs mostly to the late Middle Ages (1350-1500), as does some of the Italian influence on English and probably also the scanty influence of Welsh and Gaelic on English.",,1,,1
56,,cs-9129144707805164,Native East Coast North American contact [13],Influence from languages of the Americas and the Pacific dates back to the 17th and 18th centuries.,,1,,1
57,,cs-9129144165541353,Norwegian contact [13],,,1,,1
294,,cs-912914468650727,Early modern contact with a Tibeto-Burman language [25],"There are a number of loanwords from an unknown Tibeto-Burman source language in Hmong; some of them correspond to words reconstructed for Proto Hmong-Mien, and are thus very old.",,1,,1
58,,cs-9129144276355985,Old Norse contact [13],"From c. 790 invasions and raids of northern English coastal areas by Norse-speaking Vikings became increasingly frequent until they were brought to an end through the defeat of a Viking army under their king Guthrum by an English army under King Alfred the Great in 878. After the Treaty of Alfred and Guthrum, the Danelaw, comprising most of northern and part of Eastern England, was set up, and here Danish law was in force and many Vikings, now becalmed, settled here and farmed. Several kings of Danish origin played an important role in 11th century English politics.",,1,,1
59,,cs-9129144875495993,Portuguese contact [13],"Spanish influence on English begins in the early modern period, as does influence from Portuguese.",,1,,1
60,,cs-9129144451039078,Scandinavian contact [13],,,1,,1
61,,cs-9129144444776438,Scottish Gaelic contact [13],,,1,,1
62,,cs-9129144299362008,Spanish contact [13],"Spanish influence on English begins in the early modern period, as does influence from Portuguese.",,1,,1
63,,cs-912914490769376,Tahitian contact [13],Influence from languages of the Americas and the Pacific dates back to the 17th and 18th centuries.,,1,,1
64,,cs-912914489739946,Welsh contact [13],"The traditional view has it that the British Celts were mostly driven westwards into less arable territory by the Anglo-Saxon invaders, and that their territory was later circumscribed by the Treaty of Chester in 615, but recent DNA research shows that there is strong evidence for language shift by indigenous inhabitants from Celtic to English also having taken place; the two views are not incompatible. Varieties of British Celtic remain in Wales and Brittany as Welsh and Breton respectively, and were formerly also used in Cornwall (as Cornish) and in southern Scotland and Cumbria (Cumbric).",,1,,1
65,,cs-96181439875844292,20th contact within the Ethiopian state [3],"Influence from Amharic started to all practical effects well into the 20th century but it has been pervasive since then. Amharic is the main, if not the only, medium of access to modern vocabulary belonging to politics, Christianity, modern technology, etc., but also many agricultural items and implements. It is also the medium through which loans from European languages entered and still enter Gawwada. In a few cases the Amharic source is not listed in dictionaries – this mainly applies to words from the spoken language, often loans. The source has been entered in the database as “Colloquial Amharic” on the basis of personal knowledge or through elicitation from native speakers. Loans from European languages have generally entered Gawwada via Amharic, though there are a few words of European origin whose counterparts have not been identified in Amharic.",,1,,1
411,"{""start_year"": 1240, ""end_year"": 1240}",a-12-1240,1240 [12],,,2,,1
67,,cs-9618143986323888,Old Amharic contact [3],"Contact with the Amhara and other Christian populations from the North is probably fairly old, as the presence in the Arba Minch area (Northeast of Gawwada) of ruins of Orthodox churches and monasteries seems to suggest.  (However, direct contact with the Amharic language can be dated back at least to the years 1897-98, when the whole country was stormed and conquered by Emperor Menelik’s II troops.)",,1,,1
109,,cs-9129144109177067,Javanese influence [27],"Apparently, Malay has an older layer of Old Javanese loanwords, and not much is not about the circumstances that have led to it.  However, the vast majority of Javanese words in Indonesian are due to substratum influence, on ongoing process that started at least as early as the 17th century.",,1,,1
368,"{""start_year"": 1001, ""end_year"": 1050}",a-12-1001-1050,1001-1050 [12],,,2,,1
68,,cs-96181440888773387,Old contact with Oromo within southern Ethiopia [3],"Oromo has been the major language of Southern Ethiopia since the 16th century. Oromo is, after Amharic, the second interethnic medium of Ethiopia, and it has given a good number of loans to Amharic itself. Surprisingly, very few words in Gawwada could be traced back to Oromo with any certainty. It must nevertheless be noted that the Konsoid varieties make up with Oromo the so-called Oromoid branch of East Cushitic and are in general very close to each other. It is therefore difficult or even impossible to determine whether Konso or Oromo was the source of a loan in Gawwada. In such cases Konso was chosen as the most likely candidate.",,1,,1
69,,cs-92142241546741077,English contact [31],English was the main language of the European settlers that the Gurindji came in contact with after the 1880s.,,1,,1
70,,cs-92142241580947684,Jaminjung contact [31],"Among hunter-gatherers in this area before the European invasion, language territories were generally stable, and boundaries were backed up by mythological charters embodied in song and ceremony. However, multilingualism was very prevalent. People married out of the language group as well as inside it, and often moved for periods to and through other language groups’ country visiting relations, attending ceremonies and foraging. However in the more distant past, perhaps 2000 years ago, it seems likely that the ancestral languages of the Eastern Ngumpin languages (including Gurindji) moved from the semi-desert to the south-east into the Victoria River basin where they are currently. It is probable that this event is the reason for the major flows of loanwords into Eastern Ngumpin, especially from Western Mirndi (Jaminjungan). Some of these importations may have been substratal – the result of Western Mirndi and other Non-Pama-Nyungan speakers shifting to Eastern Ngumpin.",,1,,1
131,,cs-91291448395296,Caravans [1],"The Zanzibar-led caravan trade in East Africa (and beyond) of the 19th century initiated the great expansion of Swahili across the African mainland, but its role as providing loans for (Standard) Swahili has been limited.",,1,,1
378,"{""start_year"": 1101, ""end_year"": 1200}",a-12-1101-1200,1101-1200 [12],,,2,,1
260,,cs-9129144560082737,Neighbors [1],"Throughout their history, Swahili towns had intimate trade relations with neighboring farming peoples, and probably also attracted immigrants from them. Loanwords from such sources derive in most cases from rather closely related languages (Sambaa) and are difficult to identify with any certainty.",,1,,1
261,,cs-9129144493042350,No information [1],,,1,,1
325,"{""start_year"": -5000, ""end_year"": 500}",a-15-Avar-Andic-Tsezic,Avar-Andic-Tsezic [15],,,2,,1
71,,cs-92142241278228232,Jaru contact [31],"Among hunter-gatherers in this area before the European invasion, language territories were generally stable, and boundaries were backed up by mythological charters embodied in song and ceremony. However, multilingualism was very prevalent. People married out of the language group as well as inside it, and often moved for periods to and through other language groups’ country visiting relations, attending ceremonies and foraging. Contact between Gurindji people and the Pama-Nyungan and Non-Pama-Nyungan neighbors has been and remains strong, and this is reflected in loanwords in both directions, but predominantly from Non-Pama-Nyungan to Eastern Ngumpin.",,1,,1
72,,cs-92142242802772376,Jingulu contact [31],"Among hunter-gatherers in this area before the European invasion, language territories were generally stable, and boundaries were backed up by mythological charters embodied in song and ceremony. However, multilingualism was very prevalent. People married out of the language group as well as inside it, and often moved for periods to and through other language groups’ country visiting relations, attending ceremonies and foraging. Contact between Gurindji people and the Pama-Nyungan and Non-Pama-Nyungan neighbors has been and remains strong, and this is reflected in loanwords in both directions, but predominantly from Non-Pama-Nyungan to Eastern Ngumpin.",,1,,1
73,,cs-92142241682839429,Kriol contact [31],"The first major direct contacts began in the 1880s with the establishment of Wave Hill cattle station. Gurindji people speared cattle and in retaliation, whites attacked and killed Gurindji. Later however pastoralists recruited them as station workers and a cattle station pidgin English was used for communication between whites and local Aborigines, and between local Aborigines and other Aborigines brought in mainly from Queensland. The pidgin also arrived from Queensland and was established in parts of the Northern Territory by the 1860s. This mainly English-based pidgin language is essentially the same language as Kriol, the first language of many northern Aborigines today, and they are jointly referred to here as Pidgin/Kriol.",,1,,1
74,,cs-9129144381576990,Minangkabau writers and educators [27],"Most Minangkabau loanwords came into Indonesian in the late 19th and early 20th century, through the writing of ethnic Minangkabau educators and authors.",,1,,1
75,,cs-9129144952916385,Near East trade and Islamization [27],"Many Arabic and Persian words were borrowed into Malay after the Islamization of the Malays, beginning in the 12th or 13th centuries CE.  Arabic words continue to be borrowed until today, mostly via Islamic writings and other literature, rather than from speech.",,1,,1
76,,cs-9129144156316949,Not applicable [27],,,1,,1
118,,cs-9129144736265447,Colonial period contact [2],The colonial period which is the twentieth century till independence in 1960. Many modern concepts are introduced through Swahili. (This is the up-country or local variety of Swahili.),,1,,1
77,,cs-92142241543964031,Miriwung contact [31],"Among hunter-gatherers in this area before the European invasion, language territories were generally stable, and boundaries were backed up by mythological charters embodied in song and ceremony. However, multilingualism was very prevalent. People married out of the language group as well as inside it, and often moved for periods to and through other language groups’ country visiting relations, attending ceremonies and foraging. Contact between Gurindji people and the Pama-Nyungan and Non-Pama-Nyungan neighbors has been and remains strong, and this is reflected in loanwords in both directions, but predominantly from Non-Pama-Nyungan to Eastern Ngumpin.",,1,,1
78,,cs-92142241304628254,Mudburra contact [31],"Among hunter-gatherers in this area before the European invasion, language territories were generally stable, and boundaries were backed up by mythological charters embodied in song and ceremony. However, multilingualism was very prevalent. People married out of the language group as well as inside it, and often moved for periods to and through other language groups’ country visiting relations, attending ceremonies and foraging. Contact between Gurindji people and the Pama-Nyungan and Non-Pama-Nyungan neighbors has been and remains strong, and this is reflected in loanwords in both directions, but predominantly from Non-Pama-Nyungan to Eastern Ngumpin.",,1,,1
79,,cs-92142241988014761,Ngaliwurru contact [31],"Among hunter-gatherers in this area before the European invasion, language territories were generally stable, and boundaries were backed up by mythological charters embodied in song and ceremony. However, multilingualism was very prevalent. People married out of the language group as well as inside it, and often moved for periods to and through other language groups’ country visiting relations, attending ceremonies and foraging. Contact between Gurindji people and the Pama-Nyungan and Non-Pama-Nyungan neighbors has been and remains strong, and this is reflected in loanwords in both directions, but predominantly from Non-Pama-Nyungan to Eastern Ngumpin.",,1,,1
80,,cs-92142241922689887,Wardaman contact [31],"Among hunter-gatherers in this area before the European invasion, language territories were generally stable, and boundaries were backed up by mythological charters embodied in song and ceremony. However, multilingualism was very prevalent. People married out of the language group as well as inside it, and often moved for periods to and through other language groups’ country visiting relations, attending ceremonies and foraging. Contact between Gurindji people and the Pama-Nyungan and Non-Pama-Nyungan neighbors has been and remains strong, and this is reflected in loanwords in both directions, but predominantly from Non-Pama-Nyungan to Eastern Ngumpin.",,1,,1
81,,cs-96181449211233765,Arabic Islamic [4],"Arabic stands out as the most frequent donor language to Hausa. This is easily explained by reference to the long time period of contact and its nature. Arabic as a donor language is, first of all, closely linked to the advent and spread of Islam in West and Central Africa, both in terms of religion and dominant culture. Islamization began in the 11th century. Quite likely, Islam reached the area between the river Niger in the west and Lake Chad in the east via several gateways and roughly at the same time.",,1,,1
82,,cs-9129144236050854,English Christian [4],"With the advent of missionaries and British and French colonialism, English and French became major sources of loans, particularly in semantic domains related to colonial administration, Christian mission, and 20th century Western civilization.",,1,,1
83,,cs-9129144268135035,English colonial [4],"With the advent of missionaries and British and French colonialism, English and French became major sources of loans, particularly in semantic domains related to colonial administration, Christian mission, and 20th century Western civilization.",,1,,1
84,,cs-9129144503822312,French colonial [4],"With the advent of missionaries and British and French colonialism, English and French became major sources of loans, particularly in semantic domains related to colonial administration, Christian mission, and 20th century Western civilization.",,1,,1
86,,cs-96181450645128228,Non-Arabic Islamic [4],"Islam probably arrived in Hausaland from both the west and northwest (with Songhay and Mande languages acting as potential linguistic vehicles) and from the east via Kanuri speakers. It appears to have been established permanently in the area by the 12th/13th century, and since then has made Arabic an important direct source for loans. Kanuri must be singled out as the major indigenous donor or intermediary language for loans into Hausa, including loans ultimately from Arabic, since from the sixteenth century onward Hausaland came under the impact of the Kanuri-speaking Borno state, which exerted considerable cultural influence on Hausaland, especially in the fields of Islam, learning and administration.",,1,,1
87,,cs-9129144490352083,Yoruba colonial [4],"Other African languages may have acted as intermediaries for loans from English and French, particularly languages of the West African coastal regions from where much of the colonial conquest set out, so that coastal languages like Yoruba are brought into the picture for likely transporting English loans to the interior.",,1,,1
