ID,Name,Description,SemanticField,BorrowedScore,AgeScore,SimplicityScore,SemanticCategory,IDS_code,TypicalContext,CoreList
2-43,the child(2),"‘immediate descendant, son or daughter’ (kinship term) (cf. 2.27)",Kinship,0.0709459459459,0.878378378378,0.92972972973,Noun,2.43,"I have two children, a son and a daughter.",true
2-44,the brother,,Kinship,0.063270832029,0.872941839354,0.808896262443,Noun,2.44,"I have two brothers, one younger and one older than me.",true
2-444,the older brother,,Kinship,0.0628418214226,0.849933730443,0.786337807163,Noun,2.444,"My older brother is married, but my younger brother still lives at home.",true
2-445,the younger brother,,Kinship,0.0308275018683,0.843340240505,0.730959983695,Noun,2.445,"My older brother is married, but my younger brother still lives at home.",true
2-45,the sister,,Kinship,0.117514603896,0.809127794884,0.814825472648,Noun,2.45,"I have two sisters, one younger and one older than me.",true
2-454,the older sister,,Kinship,0.05502417729,0.822171863395,0.712373618711,Noun,2.454,"My older sister is married, but my younger sister still lives at home.",true
2-455,the younger sister,,Kinship,0.0111165383773,0.78906368429,0.680399521652,Noun,2.455,"My older sister is married, but my younger sister still lives at home.",true
2-456,the sibling,,Kinship,0.136044223742,0.846022674037,0.659889440645,Noun,2.456,"I have two siblings, one brother and one sister.",true
2-458,the twins,,Kinship,0.230079681275,0.806374501992,0.756972111554,Noun,2.458,,true
2-46,the grandfather,,Kinship,0.266843971631,0.826241134752,0.827127659574,Noun,2.46,My grandfather is 80 years old.,true
2-461,the old man,,Kinship,0.229511970534,0.814917127072,0.753683241252,Noun,2.461,That old man looks like my grandfather.,true
2-47,the grandmother,,Kinship,0.271452145215,0.840924092409,0.824257425743,Noun,2.47,My grandmother is 70 years old.,true
2-471,the old woman,,Kinship,0.131578947368,0.782894736842,0.69298245614,Noun,2.471,That old woman looks like my grandmother.,true
2-48,the grandson,,Kinship,0.0951248513674,0.848394768133,0.748810939358,Noun,2.48,My grandson is 5 years older than my granddaughter.,true
2-49,the granddaughter,,Kinship,0.10456796918,0.828288387452,0.730324711062,Noun,2.49,My grandson is 5 years older than my granddaughter.,true
2-51,the uncle,,Kinship,0.303871335041,0.868488471392,0.936901034254,Noun,2.51,"I have two uncles, one on my father's side and one on my mother's side.",true
2-511,the mother's brother,,Kinship,0.21123767426,0.782216933016,0.910744644679,Noun,2.511,,true
2-512,the father's brother,,Kinship,0.215423606083,0.808512350149,0.788800386194,Noun,2.512,,true
2-52,the aunt,,Kinship,0.237457073457,0.842867911885,0.865147834827,Noun,2.52,,true
2-521,the mother's sister,,Kinship,0.21676300578,0.78901734104,0.823699421965,Noun,2.521,,true
2-522,the father's sister,,Kinship,0.277013076394,0.841620784584,0.906658637302,Noun,2.522,,true
2-53,the nephew,‘sibling’s son’,Kinship,0.189051918736,0.836060948081,0.734762979684,Noun,2.53,,true
2-54,the niece,‘sibling’s daughter’,Kinship,0.145631067961,0.824987225345,0.678078691875,Noun,2.54,,true
2-55,the cousin,,Kinship,0.124176857949,0.8009289746,0.696025399812,Noun,2.55,,true
2-56,the ancestors,,Kinship,0.278481012658,0.796202531646,0.696202531646,Noun,2.56,,true
2-57,the descendants,,Kinship,0.345454545455,0.824242424242,0.70303030303,Noun,2.57,,true
2-61,the father-in-law (of a man),,Kinship,0.125486381323,0.831332684825,0.734435797665,Noun,2.61,,true
2-611,the father-in-law (of a woman),,Kinship,0.169769409774,0.79216204781,0.755658980326,Noun,2.611,,true
2-62,the mother-in-law (of a man),,Kinship,0.121737746658,0.802355187778,0.718332272438,Noun,2.62,,true
2-621,the mother-in-law (of a woman),,Kinship,0.188972513089,0.829515706806,0.752945026178,Noun,2.621,,true
2-63,the son-in-law (of a man),,Kinship,0.204086718166,0.84545228009,0.847371044107,Noun,2.63,,true
2-631,the son-in-law (of a woman),,Kinship,0.218113834649,0.834233485667,0.859437751004,Noun,2.631,,true
2-64,the daughter-in-law (of a man),,Kinship,0.0939818631492,0.854328112119,0.804204451772,Noun,2.64,,true
2-641,the daughter-in-law (of a woman),,Kinship,0.108234295416,0.876485568761,0.823853989813,Noun,2.641,,true
2-71,the stepfather,,Kinship,0.118403837767,0.834387265591,0.582152202355,Noun,2.71,,true
2-72,the stepmother,,Kinship,0.140077821012,0.833463035019,0.58560311284,Noun,2.72,,true
2-73,the stepson,,Kinship,0.075,0.78625,0.6025,Noun,2.73,,true
2-74,the stepdaughter,,Kinship,0.0970812182741,0.824873096447,0.596446700508,Noun,2.74,,true
2-75,the orphan,,Kinship,0.225941422594,0.819246861925,0.880753138075,Noun,2.75,,true
2-76,the widow,,Kinship,0.26875,0.85625,0.7375,Noun,2.76,,true
2-77,the widower,,Kinship,0.208955223881,0.831343283582,0.723880597015,Noun,2.77,,true
2-81,the relatives,,Kinship,0.398592283629,0.826416405978,0.841327771985,Noun,2.81,,true
2-82,the family,"‘group of closely related relatives, consisting minimally of parents and children’",Kinship,0.419715447154,0.838211382114,0.855691056911,Noun,2.82,,true
2-91,I,,Kinship,0.0296610169492,0.876271186441,0.936440677966,Function word,2.91,,true
2-92,you (singular),,Kinship,0.0416666666667,0.841666666667,0.933333333333,Function word,2.92,,true
2-93,he/she/it,"(third person singular pronoun, regardless of gender/sex)",Kinship,0.0,0.805926786752,0.955113306217,Function word,2.93,,true
2-94,we,,Kinship,0.00882352941176,0.9,0.880882352941,Function word,2.94,,true
2-941,we (inclusive),,Kinship,0.0,0.769273743017,0.769553072626,Function word,2.941,,true
2-942,we (exclusive),,Kinship,0.0,0.724083769634,0.780104712042,Function word,2.942,,true
2-95,you (plural),,Kinship,0.0380952380952,0.789523809524,0.809523809524,Function word,2.95,,true
2-96,they,,Kinship,0.0741525423729,0.801906779661,0.798728813559,Function word,2.96,,true
3-11,the animal,'living creature that can move (including or excluding humans)',Animals,0.456140350877,0.82962962963,0.897660818713,Noun,3.11,"On the small island they found rabbits, foxes, snakes, mice and many other animals.",true
3-12,male(2),(of animals) cf. 2.23,Animals,0.168918918919,0.934779516358,0.883001422475,Adjective,3.12,Only male lions have manes.,true
3-13,female(2),(of animals) cf. 2.24,Animals,0.117414248021,0.903430079156,0.890501319261,Adjective,3.13,Only female monkeys look after their offspring.,true
3-15,the livestock,"'domestic mammals kept for service or for useful products (cows, horses, donkeys, sheep, goats, pigs, reindeer, camels, etc.)'",Animals,0.276483050847,0.815677966102,0.780720338983,Noun,3.15,,true
3-16,the pasture,'land or field that is covered with grass and is used for livestock to feed on',Animals,0.358333333333,0.815416666667,0.8375,Noun,3.16,,true
3-18,the herdsman,'a man who looks after a herd of animals',Animals,0.205128205128,0.817948717949,0.666666666667,Noun,3.18,,true
3-19,the stable or stall,"'building where domestic animals (any kind, not just horses) are kept'",Animals,0.252717391304,0.834782608696,0.858695652174,Noun,3.19,,true
3-2,the cattle,'(collection of) domestic bovine animals',Animals,0.319884726225,0.853025936599,0.835734870317,Noun,3.2,,true
3-21,the bull,'male bovine (not castrated)',Animals,0.308917197452,0.850955414013,0.837579617834,Noun,3.21,,true
3-22,the ox,"'a castrated bull, often used for working on farms'",Animals,0.488095238095,0.869841269841,0.90873015873,Noun,3.22,,true
3-23,the cow,'female bovine',Animals,0.300230946882,0.841108545035,0.86143187067,Noun,3.23,,true
3-24,the calf,'young of a cow',Animals,0.209708737864,0.878834951456,0.761165048544,Noun,3.24,,true
3-25,the sheep,,Animals,0.425897824987,0.898533131007,0.962063732929,Noun,3.25,The farmers raised sheep for wool and milk.,true
3-26,the ram,'male sheep',Animals,0.19133192389,0.855919661734,0.825581395349,Noun,3.26,,true
3-28,the ewe,'female sheep',Animals,0.0915915915916,0.838138138138,0.72972972973,Noun,3.28,,true
3-29,the lamb,'young of a sheep',Animals,0.204545454545,0.81320754717,0.742710120069,Noun,3.29,,true
3-32,the boar,,Animals,0.227678571429,0.847321428571,0.799107142857,Noun,3.32,The hunter shot the boar in the forest.,true
3-34,the sow,'female pig',Animals,0.138157894737,0.865789473684,0.684210526316,Noun,3.34,,true
3-35,the pig,,Animals,0.303135888502,0.849477351916,0.900696864111,Noun,3.35,There are three pigs in the sty.,true
3-36,the goat,'(female or generic) goat',Animals,0.367430795848,0.866522491349,0.96107266436,Noun,3.36,,true
3-37,the he-goat,'male goat',Animals,0.284682080925,0.854913294798,0.791907514451,Noun,3.37,,true
3-38,the kid,'young of a goat',Animals,0.124365482234,0.834517766497,0.619289340102,Noun,3.38,,true
3-41,the horse,,Animals,0.573705179283,0.861752988048,0.988047808765,Noun,3.41,The policeman mounted the horse and rode away.,true
3-42,the stallion,'male horse',Animals,0.313106796117,0.837378640777,0.73786407767,Noun,3.42,,true
3-44,the mare,'female horse',Animals,0.266497461929,0.852791878173,0.741116751269,Noun,3.44,,true
3-45,the foal or colt,‘the young of horses’,Animals,0.210526315789,0.863157894737,0.763157894737,Noun,3.45,,true
3-46,the donkey,,Animals,0.626582278481,0.827848101266,0.936708860759,Noun,3.46,That donkey is almost as large as a horse.,true
3-47,the mule,'an animal that has a donkey and a horse as parents',Animals,0.6875,0.8515625,0.8828125,Noun,3.47,,true
3-5,the fowl,'a bird that is kept for its meat and eggs',Animals,0.152103559871,0.820388349515,0.747572815534,Noun,3.5,,true
3-52,the cock/rooster,,Animals,0.298901098901,0.843296703297,0.749450549451,Noun,3.52,The farmer owns ten hens but only two roosters.,true
3-54,the hen,,Animals,0.128361858191,0.8902200489,0.750611246944,Noun,3.54,The farmer owns ten hens but only two roosters.,true
3-55,the chicken,(Fill in only if there is a general term for 'rooster or hen'.),Animals,0.372122762148,0.888235294118,0.915601023018,Noun,3.55,,true
3-56,the goose,'domesticated goose',Animals,0.472602739726,0.883561643836,0.945205479452,Noun,3.56,,true
3-57,the duck,'domesticated duck',Animals,0.461538461538,0.86043956044,0.928571428571,Noun,3.57,,true
3-58,the nest,,Animals,0.125,0.878571428571,0.89880952381,Noun,3.58,Many birds build nests in trees.,true
3-581,the bird,,Animals,0.158181818182,0.804727272727,0.961818181818,Noun,3.581,,true
3-582,the seagull,,Animals,0.21,0.76,0.91,Noun,3.582,,true
3-583,the heron,,Animals,0.203947368421,0.797368421053,0.914473684211,Noun,3.583,,true
3-584,the eagle,,Animals,0.247126436782,0.847126436782,0.954022988506,Noun,3.584,,true
3-585,the hawk,,Animals,0.159793814433,0.815463917526,0.938144329897,Noun,3.585,,true
3-586,the vulture,,Animals,0.110294117647,0.814705882353,0.926470588235,Noun,3.586,,true
3-591,the bat,,Animals,0.222826086957,0.821739130435,0.902173913043,Noun,3.591,,true
3-592,the parrot,,Animals,0.5,0.818181818182,0.926136363636,Noun,3.592,,true
3-593,the crow,,Animals,0.141025641026,0.833333333333,0.961538461538,Noun,3.593,,true
3-594,the dove,,Animals,0.262820512821,0.864102564103,0.942307692308,Noun,3.594,,true
3-596,the owl,,Animals,0.15350877193,0.808771929825,0.934210526316,Noun,3.596,,true
3-61,the dog,,Animals,0.161616161616,0.879797979798,0.959595959596,Noun,3.61,,true
3-614,the rabbit,,Animals,0.44262295082,0.896721311475,0.954918032787,Noun,3.614,,true
3-62,the cat,,Animals,0.344186046512,0.802790697674,0.944186046512,Noun,3.62,,true
3-622,the opossum,,Animals,0.476744186047,0.779069767442,0.872093023256,Noun,3.622,,true
3-63,the mouse or rat,,Animals,0.177165354331,0.815748031496,0.929133858268,Noun,3.63,,true
3-65,the fish,,Animals,0.145161290323,0.85376344086,0.983870967742,Noun,3.65,,true
3-652,the fin,'one of the thin body parts that a fish uses to swim',Animals,0.0678391959799,0.743216080402,0.856783919598,Noun,3.652,,true
3-653,the scale,'one of the small flat pieces of skin that cover the bodies of fish',Animals,0.208333333333,0.859722222222,0.895833333333,Noun,3.653,,true
3-654,the gill,,Animals,0.194915254237,0.81186440678,0.932203389831,Noun,3.654,,true
3-655,the shell,,Animals,0.209375,0.7925,0.925,Noun,3.655,,true
3-661,the shark,,Animals,0.427083333333,0.7875,0.885416666667,Noun,3.661,,true
3-663,the whale,,Animals,0.43,0.848,0.87,Noun,3.663,,true
3-664,the stingray,,Animals,0.238636363636,0.836363636364,0.909090909091,Noun,3.664,,true
3-665,the freshwater eel,,Animals,0.171875,0.8,0.8515625,Noun,3.665,,true
3-71,the wolf,,Animals,0.270833333333,0.858333333333,0.881944444444,Noun,3.71,,true
3-72,the lion,,Animals,0.656626506024,0.843373493976,0.933734939759,Noun,3.72,,true
3-73,the bear,,Animals,0.354838709677,0.848387096774,0.983870967742,Noun,3.73,,true
3-74,the fox,,Animals,0.173611111111,0.836111111111,0.944444444444,Noun,3.74,,true
3-75,the deer,,Animals,0.146706586826,0.873053892216,0.952095808383,Noun,3.75,,true
3-76,the monkey,,Animals,0.333333333333,0.790740740741,0.953703703704,Noun,3.76,,true
3-77,the elephant,,Animals,0.641176470588,0.788235294118,0.982352941176,Noun,3.77,,true
3-78,the camel,,Animals,0.84375,0.83125,0.921875,Noun,3.78,,true
3-81,the insect,,Animals,0.443946188341,0.860538116592,0.878923766816,Noun,3.81,,true
3-811,the head louse,,Animals,0.0502392344498,0.873684210526,0.942583732057,Noun,3.811,,true
3-812,the nit,'an egg of a louse that is sometimes found in people's hair',Animals,0.0479452054795,0.834246575342,0.808219178082,Noun,3.812,,true
3-813,the flea,,Animals,0.0705882352941,0.84,0.9,Noun,3.813,,true
3-814,the centipede,,Animals,0.141025641026,0.833333333333,0.833333333333,Noun,3.814,,true
3-815,the scorpion,,Animals,0.324324324324,0.818918918919,0.905405405405,Noun,3.815,,true
3-816,the cockroach,,Animals,0.363095238095,0.797619047619,0.892857142857,Noun,3.816,,true
3-817,the ant,,Animals,0.12,0.851,0.975,Noun,3.817,,true
3-818,the spider,,Animals,0.252747252747,0.846153846154,0.923076923077,Noun,3.818,,true
3-819,the spider web,,Animals,0.0833333333333,0.787179487179,0.602564102564,Noun,3.819,,true
3-82,the bee,,Animals,0.139830508475,0.805084745763,0.875,Noun,3.82,,true
3-821,the beeswax,,Animals,0.100746268657,0.864179104478,0.694029850746,Noun,3.821,,true
3-822,the beehive,,Animals,0.133757961783,0.83949044586,0.713375796178,Noun,3.822,,true
3-823,the wasp,,Animals,0.15969581749,0.849429657795,0.923003802281,Noun,3.823,,true
3-83,the fly,,Animals,0.0519230769231,0.866153846154,0.942307692308,Noun,3.83,,true
3-831,the sandfly or midge or gnat,,Animals,0.0833333333333,0.803846153846,0.884615384615,Noun,3.831,,true
3-832,the mosquito,,Animals,0.215909090909,0.817045454545,0.931818181818,Noun,3.832,,true
3-84,the worm,,Animals,0.124309392265,0.856906077348,0.912983425414,Noun,3.84,,true
3-85,the snake,,Animals,0.154228855721,0.850746268657,0.950248756219,Noun,3.85,,true
3-91,the firefly,,Animals,0.0972222222222,0.786111111111,0.798611111111,Noun,3.91,,true
3-92,the butterfly,,Animals,0.140449438202,0.824719101124,0.893258426966,Noun,3.92,,true
3-93,the grasshopper,,Animals,0.105555555556,0.811111111111,0.888888888889,Noun,3.93,,true
3-94,the snail,,Animals,0.209044368601,0.846416382253,0.887372013652,Noun,3.94,,true
3-95,the frog,,Animals,0.224598930481,0.851336898396,0.978609625668,Noun,3.95,,true
3-96,the lizard,,Animals,0.232673267327,0.806930693069,0.980198019802,Noun,3.96,,true
3-97,the crocodile or alligator,,Animals,0.533333333333,0.853333333333,0.95,Noun,3.97,,true
3-98,the turtle,,Animals,0.244791666667,0.785416666667,0.947916666667,Noun,3.98,,true
4-11,the body,‘the body of a live human’,The body,0.187835420394,0.848300536673,0.935599284436,Noun,4.11,,true
4-12,the skin or hide,(skin: of a human; hide: of an animal),The body,0.110978520286,0.89785202864,0.923627684964,Noun,4.12,,true
4-13,the flesh,,The body,0.14553314121,0.892219020173,1.0,Noun,4.13,,true
4-14,the hair,‘hair on a person’s head’,The body,0.056421830119,0.879975379565,0.916906032007,Noun,4.14,,true
4-142,the beard,,The body,0.168539325843,0.826966292135,0.926966292135,Noun,4.142,,true
